car_trim,powertrain_type
Geely GX3 Pro 2025 A/T / Premium ,Internal_Combustion_Engine
Geely GX3 Pro 2025 A/T / Premium (AUTO MOBILITY),Internal_Combustion_Engine
Geely GX3 Pro A/T / Premium ,Internal_Combustion_Engine
Geely GX3 Pro A/T / Premium (AUTO MOBILITY) 2025,Internal_Combustion_Engine
Geely GX3 Pro A/T / Premium  2025,Internal_Combustion_Engine
Geely Cool Ray 2025 A/T / Comfort ,Internal_Combustion_Engine
Geely Cool Ray 2025 A/T / GL / ,Internal_Combustion_Engine
Geely Cool Ray 2025 A/T / Premium  ,Internal_Combustion_Engine
Geely Cool Ray 2025 A/T / Comfort / ,Internal_Combustion_Engine
Geely Cool Ray 2025 A/T / Premium / ,Internal_Combustion_Engine
Geely Cool Ray 2025 A/T / Sport (AUTO MOBILITY) ,Internal_Combustion_Engine
Geely Cool Ray 2025 A/T / Premium ,Internal_Combustion_Engine
Geely Cool Ray 2025 A/T / sport / ,Internal_Combustion_Engine
Geely Cool Ray 2025 A/T / sport ,Internal_Combustion_Engine
Geely Cool Ray A/T / sport /  2025,Internal_Combustion_Engine
Geely Cool Ray A/T / Premium /  2025,Internal_Combustion_Engine
Geely Cool Ray A/T / GL /  2025,Internal_Combustion_Engine
Geely Cool Ray A/T / Sport (AUTO MOBILITY)  2025,Internal_Combustion_Engine
Geely Cool Ray A/T / Premium   2025,Internal_Combustion_Engine
Geely Cool Ray A/T / Comfort  2025,Internal_Combustion_Engine
Geely City Ray 2026 A/T / Comfort,Internal_Combustion_Engine
Geely City Ray 2026 A/T / Premium,Internal_Combustion_Engine
Geely City Ray 2026 A/T / Sport,Internal_Combustion_Engine
Geely Starray 2025 A/T / Comfort ,Internal_Combustion_Engine
Geely Starray 2025 A/T / Comfort / ,Internal_Combustion_Engine
Geely Starray 2025 A/T / Premium ,Internal_Combustion_Engine
Geely Starray 2025 A/T / Sport ,Internal_Combustion_Engine
Geely Starray 2025 A/T / Sport +,Internal_Combustion_Engine
Geely Starray 2025 A/T / Sport + ,Internal_Combustion_Engine
Geely Starray A/T / Sport +  2025,Internal_Combustion_Engine
Geely Starray A/T / Sport  2025,Internal_Combustion_Engine
Geely Starray A/T / Premium  2025,Internal_Combustion_Engine
Geely Starray A/T / Comfort /  2025,Internal_Combustion_Engine
Geely Starray A/T / Sport + 2025,Internal_Combustion_Engine
Geely Starray A/T / Comfort  2025,Internal_Combustion_Engine
Geely Okavango 2025 A/T / Premium ,Internal_Combustion_Engine
Geely Okavango 2025 A/T /Premium / ,Internal_Combustion_Engine
Geely Okavango A/T /Premium /  2025,Internal_Combustion_Engine
Cupra Leon 2026 Automatic,Internal_Combustion_Engine
Cupra Leon 2025 Automatic,Internal_Combustion_Engine
Cupra Leon Automatic 2025,Internal_Combustion_Engine
Cupra Terramar 2026 A/T / IMPULSE,Internal_Combustion_Engine
Cupra Terramar 2026 AT / CONTROL,Internal_Combustion_Engine
Cupra Terramar 2025 A/T / IMPULSE,Internal_Combustion_Engine
Cupra Terramar 2025 AT / CONTROL,Internal_Combustion_Engine
Cupra Terramar AT / CONTROL 2025,Internal_Combustion_Engine
Cupra Terramar A/T / IMPULSE 2025,Internal_Combustion_Engine
Baic U5 plus 2025 A/T / Highline,Internal_Combustion_Engine
Baic U5 plus 2025 A/T / Top Line,Internal_Combustion_Engine
Baic U5 plus A/T / Top Line 2025,Internal_Combustion_Engine
Baic U5 plus A/T / Highline 2025,Internal_Combustion_Engine
Baic X55 2025 A/T / Highline,Internal_Combustion_Engine
Baic X55 2025 A/T / Top Line,Internal_Combustion_Engine
Baic X55 2025 A/T / Premium,Internal_Combustion_Engine
Baic X55 A/T / Premium 2025,Internal_Combustion_Engine
Baic X55 A/T / Top Line 2025,Internal_Combustion_Engine
Baic X55 A/T / Highline 2025,Internal_Combustion_Engine
Baic BJ30 2025 A/T / PRO,Internal_Combustion_Engine
Baic BJ30 2025 A/T / ULTRA,Internal_Combustion_Engine
Baic BJ30 2025 A/T / Off-Road,Internal_Combustion_Engine
Baic BJ30 A/T / ULTRA 2025,Internal_Combustion_Engine
Baic BJ30 A/T / PRO 2025,Internal_Combustion_Engine
Baic X7 2025 A/T / Highline,Internal_Combustion_Engine
Baic X7 2025 A/T / Top Line,Internal_Combustion_Engine
Baic X7 2025 A/T / Premium,Internal_Combustion_Engine
Baic X7 A/T / Premium 2025,Internal_Combustion_Engine
Baic X7 A/T / Top Line 2025,Internal_Combustion_Engine
Baic X7 A/T / Highline 2025,Internal_Combustion_Engine
Smart 1 2025 A/T / Pure+,Electric
Smart 1 2025 A/T / Pro+,Electric
Smart 1 2025 A/T / Premium,Electric
Smart 1 2025 A/T / BRABUS,Electric
Smart 3 2025 A/T / Pro+,Electric
Smart 3 2025 A/T / Premium,Electric
Smart 3 2025 A/T / BRABUS,Electric
Haval Jolion 2025 A/T / Deluxe SR,Internal_Combustion_Engine
Haval Jolion 2025 A/T / High Deluxe,Internal_Combustion_Engine
Haval Jolion A/T / High Deluxe 2025,Internal_Combustion_Engine
Haval Jolion A/T / Deluxe SR 2025,Internal_Combustion_Engine
Haval H6 2026 A/T / Luxury,Internal_Combustion_Engine
Haval H6 2026 A/T / Premium,Internal_Combustion_Engine
Haval H6 2025 A/T / Standard,Internal_Combustion_Engine
Haval H6 2025 A/T / Deluxe,Internal_Combustion_Engine
Haval H6 2025 A/T / Deluxe SR,Internal_Combustion_Engine
Haval H6 2025 A/T / Top Line,Internal_Combustion_Engine
Haval H6 A/T / Top Line 2025,Internal_Combustion_Engine
Haval H6 A/T / Deluxe SR 2025,Internal_Combustion_Engine
Haval H6 A/T / Deluxe 2025,Internal_Combustion_Engine
Haval H6 A/T / Standard 2025,Internal_Combustion_Engine
Haval Jolion Pro 2025 A/T / High Deluxe,Internal_Combustion_Engine
Haval Jolion Pro A/T / High Deluxe 2025,Internal_Combustion_Engine
Haval H6 HEV 2026 A/T / High Deluxe,Hybrid
Haval H6 HEV 2025 A/T / High Deluxe,Hybrid
Haval H6 HEV A/T / High Deluxe 2026,Hybrid
Haval H6 HEV A/T / High Deluxe 2025,Hybrid
GAC Empow 2025 A/T / GS,Internal_Combustion_Engine
GAC Empow 2025 A/T / GB,Internal_Combustion_Engine
GAC Empow 2025 A/T / GE S-Style,Internal_Combustion_Engine
GAC Empow A/T / GE S-Style 2025,Internal_Combustion_Engine
GAC Empow A/T / GB 2025,Internal_Combustion_Engine
GAC Empow A/T / GS 2025,Internal_Combustion_Engine
GAC GS4 2025 Automtic / GS,Internal_Combustion_Engine
GAC GS4 2025 Automtic / GB,Internal_Combustion_Engine
GAC GS4 2025 Automtic / GE,Internal_Combustion_Engine
GAC GS4 Automtic / GE 2025,Internal_Combustion_Engine
GAC GS4 Automtic / GB 2025,Internal_Combustion_Engine
GAC GS4 Automtic / GS 2025,Internal_Combustion_Engine
GAC Emkoo 2025 Automtic / Gs,Internal_Combustion_Engine
GAC Emkoo 2025 Automtic / GE,Internal_Combustion_Engine
GAC Emkoo 2025 Automtic / GL,Internal_Combustion_Engine
